Player,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Eric Bledsoe,2017-18,28,PHO,NBA,PG,3,83,13,0.509,0.325,0.35,3.8,5.2,4.5,17.9,2.3,1.9,17.8,28.7,,-0.1,0,0,-0.028,,-2.5,-2.4,-4.9,-0.1
Eric Bledsoe,2017-18,28,MIL,NBA,PG,71,2239,20,0.585,0.366,0.319,2.5,11.9,7.2,26,3.2,1.5,16,26,,3.2,2.4,5.7,0.121,,2.6,-0.2,2.4,2.5
Greg Monroe,2017-18,27,MIL,NBA,C,5,79,11.1,0.489,0,0.121,8.9,28.1,18.5,10.2,0,0,14.7,23.3,,-0.1,0,0,-0.013,,-6.1,-3.5,-9.6,-0.2
Greg Monroe,2017-18,27,PHO,NBA,C,20,465,21,0.642,0,0.297,11.3,25.7,18.4,18.2,1.6,1,18.6,19.6,,1,0.4,1.4,0.142,,1.1,1.1,2.3,0.5
Greg Monroe,2017-18,27,BOS,NBA,C,26,496,23,0.58,0,0.348,11.9,24.4,18.2,20.5,2.8,2.9,17.4,24.9,,0.8,1.1,2,0.193,,0.2,4.3,4.5,0.8
Trevor Booker,2017-18,30,BRK,NBA,PF,18,395,15.4,0.536,0.08,0.287,10.1,22,16,16.2,1,0.9,15.1,21.8,,0.3,0.3,0.6,0.072,,-1.6,0.2,-1.5,0.1
Trevor Booker,2017-18,30,PHI,NBA,PF,33,494,14.5,0.618,0.064,0.358,10.7,15.7,13.3,7.6,1.6,1.9,13.7,12.6,,1,0.7,1.7,0.163,,-0.7,1.4,0.7,0.3
Trevor Booker,2017-18,30,IND,NBA,PF,17,269,14.7,0.512,0.167,0.131,13.5,18.8,16.2,9,0.7,1.6,9.2,16.2,,0.4,0.2,0.7,0.118,,-0.7,-0.6,-1.3,0
Jahlil Okafor,2017-18,22,PHI,NBA,C,2,25,8.8,0.465,0,0.444,17.9,20.7,19.4,5.8,0,6.7,21.8,23.5,,0,0,0,0.005,,-7.5,0.5,-7,0
Jahlil Okafor,2017-18,22,BRK,NBA,C,26,328,15.8,0.593,0.031,0.194,5.5,19.3,12.3,5.9,0.4,3.6,11.4,20.9,,0.3,0.3,0.6,0.089,,-3.4,-0.8,-4.3,-0.2
Nik Stauskas,2017-18,24,PHI,NBA,SG,6,45,0.9,0.41,0.25,0.5,0,2.3,1.2,2.7,4.3,0,45,8.4,,-0.1,0.1,0,-0.044,,-7.4,2.5,-4.8,0
Nik Stauskas,2017-18,24,BRK,NBA,SG,35,478,9.8,0.547,0.66,0.18,0.9,13.2,7,11.9,0.5,0.6,12,16.7,,0.2,0.2,0.4,0.038,,-1.7,-2.3,-3.9,-0.2
Blake Griffin,2017-18,28,LAC,NBA,PF,33,1139,20.4,0.553,0.324,0.379,4.5,20.5,12.6,25.6,1.3,0.7,12.8,29.3,,2,1,3,0.126,,3.2,-0.1,3.1,1.5
Blake Griffin,2017-18,28,DET,NBA,PF,25,831,18.5,0.531,0.323,0.266,3.5,18.9,11,31.5,0.7,1,12.4,28.4,,1.1,0.8,1.9,0.113,,2.4,-0.1,2.3,0.9
Brice Johnson,2017-18,23,LAC,NBA,PF,9,38,21.3,0.673,0.091,0.182,5.9,31.4,18.8,4,7.7,4.4,25.2,18,,0,0.1,0.1,0.168,,-2.6,6.4,3.8,0.1
Brice Johnson,2017-18,23,MEM,NBA,PF,9,60,16.2,0.418,0,0.097,13.2,21.7,17.4,3,2.5,6.2,3,24.9,,-0.1,0.1,0,0.028,,-6.3,-0.8,-7,-0.1
Willie Reed,2017-18,27,LAC,NBA,C,39,419,19.4,0.669,0.017,0.458,9.3,22,15.7,3.3,1,4.4,11.6,16.8,,1,0.5,1.5,0.171,,-0.8,0,-0.8,0.1
Willie Reed,2017-18,27,DET,NBA,C,3,9,8.8,1,0,0,0,12.5,6.1,15.9,0,0,0,4.9,,0,0,0,0.187,,-0.3,-2.2,-2.5,0
Avery Bradley,2017-18,27,DET,NBA,SG,40,1268,9.7,0.497,0.34,0.14,1.6,6.7,4.1,10.5,1.8,0.5,13.3,24.4,,-1.4,1.1,-0.2,-0.009,,-2.7,-1.5,-4.2,-0.7
Avery Bradley,2017-18,27,LAC,NBA,SG,6,165,9,0.492,0.164,0.036,2,12.5,7.3,9.8,1.5,0.5,12.5,16.7,,-0.1,0.1,0,0.009,,-3.4,-0.8,-4.2,-0.1
Boban Marjanovic,2017-18,29,DET,NBA,C,19,171,21.6,0.597,0,0.57,9.5,27.7,18.4,14.4,1.2,3.1,18.2,31.3,,0.2,0.3,0.5,0.138,,-2.5,0.4,-2.1,0
Boban Marjanovic,2017-18,29,LAC,NBA,C,20,166,30.6,0.637,0,0.754,22.1,35.2,28.8,7.9,1.8,2.5,13.2,27.5,,0.7,0.3,1,0.293,,2,-1.1,1,0.1
Tobias Harris,2017-18,25,DET,NBA,PF,48,1563,16.7,0.564,0.389,0.192,2.5,15,8.6,9.9,1.1,0.9,6.2,23.2,,2.6,1.5,4.1,0.125,,1.4,-1.2,0.2,0.9
Tobias Harris,2017-18,25,LAC,NBA,PF,32,1105,17.7,0.565,0.33,0.156,2.2,16.8,9.6,14.3,1.6,1.5,9,23.5,,1.6,1,2.6,0.112,,1.7,-0.2,1.5,1
Nikola Mirotic,2017-18,26,CHI,NBA,PF,25,622,22,0.624,0.533,0.262,3,25.3,13.7,11,1.2,1.9,8.4,25.7,,1.5,0.6,2,0.158,,3.2,-1.4,1.9,0.6
Nikola Mirotic,2017-18,26,NOP,NBA,PF,30,872,16.3,0.539,0.516,0.152,5.3,24.6,15.3,6.8,1.6,2.4,7.1,21.8,,0.7,1.2,1.9,0.106,,0,-0.2,-0.2,0.4
Omer Asik,2017-18,31,NOP,NBA,C,14,121,4.5,0.423,0,0.75,6.5,26,16.6,2,0.4,1.3,19,9.4,,-0.1,0.1,0,0.008,,-7.4,-0.7,-8.1,-0.2
Omer Asik,2017-18,31,CHI,NBA,C,4,61,0.2,0.311,0,0.167,3.4,14.6,8.8,2.1,0.8,2.9,38.3,7.4,,-0.1,0,-0.1,-0.078,,-9.6,1.6,-8,-0.1
Jameer Nelson,2017-18,35,NOP,NBA,PG,43,897,8.9,0.52,0.537,0.083,1.4,9.9,5.8,22.2,1.2,0.3,20.9,13,,0.3,0.6,0.8,0.045,,-1.9,-1.4,-3.3,-0.3
Jameer Nelson,2017-18,35,DET,NBA,PG,7,116,2.6,0.322,0.359,0.077,1.9,5.8,3.8,27.7,1.7,0.8,21.4,19.6,,-0.4,0.1,-0.3,-0.107,,-7.5,-2.2,-9.7,-0.2
Rashad Vaughn,2017-18,21,MIL,NBA,SG,22,173,11.1,0.56,0.7,0.12,1.4,10.1,5.8,9.9,1.2,1.5,7.1,14.8,,0.2,0.1,0.3,0.073,,-0.5,-2.8,-3.3,-0.1
Rashad Vaughn,2017-18,21,BRK,NBA,SG,1,4,4.1,,,,0,0,0,31.7,0,0,,0,,0,0,0,0.106,,-7.6,-8.5,-16,0
Rashad Vaughn,2017-18,21,ORL,NBA,SG,5,35,1.1,0.417,0.333,0,3.1,9.5,6.3,0,1.4,0,25,10.1,,-0.1,0,-0.1,-0.07,,-8.1,-2.4,-10.4,-0.1
